x,y,STATION_NAME,LOCAL_DATE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-08-31 00:00:00,7018562,,QC,,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-02 00:00:00,7018562,0,QC,16.6,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-03 00:00:00,7018562,43,QC,20.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-04 00:00:00,7018562,33,QC,16.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-05 00:00:00,7018562,43,QC,17.8,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-06 00:00:00,7018562,0,QC,13.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-07 00:00:00,7018562,0,QC,14.7,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-08 00:00:00,7018562,0,QC,14.8,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-09 00:00:00,7018562,43,QC,16.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-10 00:00:00,7018562,48,QC,16.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-11 00:00:00,7018562,39,QC,11.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-12 00:00:00,7018562,41,QC,11.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-13 00:00:00,7018562,35,QC,18.8,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-14 00:00:00,7018562,52,QC,22.1,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-15 00:00:00,7018562,44,QC,15.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-16 00:00:00,7018562,33,QC,11.1,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-17 00:00:00,7018562,0,QC,13.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-18 00:00:00,7018562,46,QC,14.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-19 00:00:00,7018562,46,QC,8.8,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-20 00:00:00,7018562,44,QC,9.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-21 00:00:00,7018562,0,QC,10.7,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-22 00:00:00,7018562,0,QC,12.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-23 00:00:00,7018562,41,QC,12.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-24 00:00:00,7018562,39,QC,12.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-25 00:00:00,7018562,50,QC,14.1,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-26 00:00:00,7018562,44,QC,12.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-27 00:00:00,7018562,48,QC,14,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-28 00:00:00,7018562,80,QC,12.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-29 00:00:00,7018562,44,QC,8.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-09-30 00:00:00,7018562,0,QC,5.4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-01 00:00:00,7018562,37,QC,6.7,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-02 00:00:00,7018562,39,QC,10.6,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-03 00:00:00,7018562,,QC,7.2,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-04 00:00:00,7018562,65,QC,6.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-05 00:00:00,7018562,37,QC,5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-06 00:00:00,7018562,32,QC,6.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-07 00:00:00,7018562,41,QC,11.7,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-08 00:00:00,7018562,56,QC,4,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-09 00:00:00,7018562,0,QC,3.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-10 00:00:00,7018562,43,QC,0.9,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-11 00:00:00,7018562,0,QC,2.1,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-12 00:00:00,7018562,41,QC,5.7,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-13 00:00:00,7018562,41,QC,2.6,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-14 00:00:00,7018562,32,QC,3,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-15 00:00:00,7018562,0,QC,4.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-16 00:00:00,7018562,39,QC,11.3,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-17 00:00:00,7018562,39,QC,12.5,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-18 00:00:00,7018562,69,QC,9.3,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-19 00:00:00,7018562,0,QC,4.6,
-72.51611111111112,46.353611111111114,TROIS-RIVIERES,1993-10-20 00:00:00,7018562,0,QC,5.7,
