Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-08-07 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-07-17 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-05-30 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1989-06-03 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-05-30 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1992-07-28 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-07-11 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-08-14 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-07-03 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-08-20 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-07-21 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1989-08-13 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-08-23 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-05-03 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1992-06-06 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1989-08-20 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-07-05 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-06-18 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-07-19 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-07-10 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1989-08-19 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1989-07-15 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1990-05-11 00:00:00,4804
-97.33333333333331,49.833333333333336,,MB,WINNIPEG CHARLESWOOD LAGOON,,,50231R0,1991-08-24 00:00:00,4804
