Longitude,Latitude,Province,Name,Date,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,Climate ID,Station ID
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1994-09-19 00:00:00,17.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-05-22 00:00:00,13.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-11-20 00:00:00,0.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-10-04 00:00:00,4.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1994-10-06 00:00:00,14.3,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1992-06-23 00:00:00,16.3,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1994-06-01 00:00:00,13.0,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1993-08-16 00:00:00,17.3,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1988-04-16 00:00:00,9.3,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1995-04-07 00:00:00,1.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1988-03-12 00:00:00,-12.0,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1992-11-29 00:00:00,-5.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-09-29 00:00:00,7.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-05-09 00:00:00,15.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1987-10-28 00:00:00,0.3,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1994-07-10 00:00:00,18.0,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1995-07-31 00:00:00,17.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-04-08 00:00:00,0.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-02-08 00:00:00,4.0,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-10-06 00:00:00,5.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-09-11 00:00:00,18.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1991-05-12 00:00:00,20.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1989-12-30 00:00:00,-15.8,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1994-04-20 00:00:00,3.0,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-02-24 00:00:00,-20.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1990-04-28 00:00:00,3.5,,,6022475,5165
-93.41666666666669,48.61666666666667,ON,FORT FRANCES,1989-05-23 00:00:00,14.3,,,6022475,5165
