Longitude,Latitude,MAX_REL_HUMIDITY,Date,Name,SPEED_MAX_GUST,MEAN_TEMPERATURE,Climate ID,Province,Station ID
-137.21666666666667,68.95,,1992-12-04 00:00:00,SHINGLE POINT A,,-12.9,2100950,YT,1882
-137.21666666666667,68.95,,1992-12-08 00:00:00,SHINGLE POINT A,,-24.5,2100950,YT,1882
-137.21666666666667,68.95,,1992-12-13 00:00:00,SHINGLE POINT A,,-26.1,2100950,YT,1882
-137.21666666666667,68.95,,1992-12-19 00:00:00,SHINGLE POINT A,,-22.0,2100950,YT,1882
-137.21666666666667,68.95,,1992-12-25 00:00:00,SHINGLE POINT A,,-31.3,2100950,YT,1882
-137.21666666666667,68.95,,1993-01-24 00:00:00,SHINGLE POINT A,,-35.6,2100950,YT,1882
-137.21666666666667,68.95,,1993-02-04 00:00:00,SHINGLE POINT A,,-32.8,2100950,YT,1882
-137.21666666666667,68.95,,1993-02-11 00:00:00,SHINGLE POINT A,,-20.6,2100950,YT,1882
-137.21666666666667,68.95,,1993-02-12 00:00:00,SHINGLE POINT A,,-22.7,2100950,YT,1882
-137.21666666666667,68.95,,1993-02-13 00:00:00,SHINGLE POINT A,,-24.5,2100950,YT,1882
-137.21666666666667,68.95,,1993-02-14 00:00:00,SHINGLE POINT A,,-18.3,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-05 00:00:00,SHINGLE POINT A,,-17.7,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-07 00:00:00,SHINGLE POINT A,,-24.3,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-17 00:00:00,SHINGLE POINT A,,-20.2,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-27 00:00:00,SHINGLE POINT A,,-25.5,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-28 00:00:00,SHINGLE POINT A,,-20.1,2100950,YT,1882
-137.21666666666667,68.95,,1993-03-30 00:00:00,SHINGLE POINT A,,-16.8,2100950,YT,1882
-137.21666666666667,68.95,,1993-05-31 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-01 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-02 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-03 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-04 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-05 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-06 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-07 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-08 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-09 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-10 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-11 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-12 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-13 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-14 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-15 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-16 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-17 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-18 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-19 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-20 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
-137.21666666666667,68.95,,1993-06-21 00:00:00,SHINGLE POINT A,,,2100950,YT,1882
