Longitude,Latitude,MAX_REL_HUMIDITY,SPEED_MAX_GUST,Province,Date,MEAN_TEMPERATURE,Name,Climate ID,Station ID
-115.7838888888889,54.13972444444445,,,AB,1998-11-01 00:00:00,0.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-02 00:00:00,1.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-03 00:00:00,0.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-04 00:00:00,1.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-05 00:00:00,2.0,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-06 00:00:00,-0.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-07 00:00:00,-3.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-08 00:00:00,-3.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-09 00:00:00,-5.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-10 00:00:00,-7.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-11 00:00:00,-7.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-12 00:00:00,-3.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-13 00:00:00,-3.0,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-14 00:00:00,-8.3,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-15 00:00:00,-10.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-16 00:00:00,-11.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-17 00:00:00,-12.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-18 00:00:00,-9.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-19 00:00:00,-12.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-20 00:00:00,-11.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-21 00:00:00,-3.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-22 00:00:00,-4.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-23 00:00:00,-7.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-24 00:00:00,-7.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-25 00:00:00,-7.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-26 00:00:00,-0.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-27 00:00:00,-6.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-28 00:00:00,-6.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-29 00:00:00,-13.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-11-30 00:00:00,-13.3,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-01 00:00:00,-12.3,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-02 00:00:00,-7.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-03 00:00:00,-7.4,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-04 00:00:00,-7.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-05 00:00:00,-12.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-06 00:00:00,-8.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-07 00:00:00,-12.3,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-08 00:00:00,-5.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-09 00:00:00,-3.2,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-10 00:00:00,1.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-11 00:00:00,-2.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-12 00:00:00,-6.0,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-13 00:00:00,-1.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-14 00:00:00,-4.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-15 00:00:00,-4.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-16 00:00:00,-2.3,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-17 00:00:00,-5.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-18 00:00:00,-17.8,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-19 00:00:00,-24.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-20 00:00:00,-25.1,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-21 00:00:00,-19.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-22 00:00:00,-13.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-23 00:00:00,-18.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-24 00:00:00,-19.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-25 00:00:00,-22.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-26 00:00:00,-14.5,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-27 00:00:00,-15.6,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-28 00:00:00,-19.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-29 00:00:00,-19.7,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-30 00:00:00,-15.9,WHITECOURT,3067371,3525
-115.7838888888889,54.13972444444445,,,AB,1998-12-31 00:00:00,-19.4,WHITECOURT,3067371,3525
